NAME,ref_G,ref_FGA,ref_FTA,ref_PF,ref_PTS,ref_FGA_pgrel,ref_FTA_pgrel,ref_PF_pgrel,ref_PTS_pgrel,ref_home_win_loss,ref_home_FGA,ref_home_FTA,ref_home_PF,ref_home_PTS,ref_away_win_loss,ref_away_FGA,ref_away_FTA,ref_away_PF,ref_away_PTS,ref_win_loss_hvrel,ref_FGA_hvrel,ref_FTA_hvrel,ref_PF_hvrel,ref_PTS_hvrel
Lionel Yates,17,161.5,61.5,50.3,209.2,1.1,8.7,4.2,10.2,0.412,82.7,33,24.5,104.8,0.588,78.8,28.5,25.8,104.4,-0.382,3.2,3.2,-0.4,-2.8
Gary Zielinski,1036,164.613417,47.46332046,41.31592664,198.6783784,0.825,-0.730501931,-0.604247104,-0.154150579,0.638947876,82.26206564,24.6269305,20.0780888,101.4984556,0.361052124,82.34893822,22.83658301,21.2492278,97.17992278,0.084662162,-0.165830116,0.713996139,-0.436100386,1.275096525
Dee Kantner,247,161.9417004,51.36720648,43.81295547,192.6595142,0.908502024,0.9951417,-0.81659919,2.196761134,0.635817814,81.24534413,26.02753036,21.61497976,98.19595142,0.364182186,80.70364372,25.31417004,22.18461538,94.50445344,0.066967611,0.24534413,-0.056275304,-0.054251012,0.54534413
Violet Palmer,919,162.0521219,49.99445049,43.42785637,195.301741,0.406855277,0.550272035,0.293471164,0.779760609,0.62135691,81.38139282,25.26822633,21.51915125,99.62513602,0.37864309,80.67704026,24.72992383,21.89553863,95.66909684,0.039311208,0.530903156,-0.52796518,0.305331882,0.774211099
Phil Robinson,686,161.8695335,50.603207,44.05685131,195.6364431,0.709183673,0.470262391,0.303206997,1.655247813,0.597565598,80.83790087,25.94344023,21.64650146,99.37478134,0.402434402,81.04970845,24.64169096,22.40962099,96.28892128,-0.014737609,-0.44212828,0.236005831,-0.089212828,-0.208892128
Michael Henderson,238,159.8210084,52.31176471,45.70546218,192.4176471,-0.658823529,2.555462185,1.868487395,1.415966387,0.617705882,80.17983193,27.09789916,22.16890756,98.39411765,0.382294118,79.65756303,25.2302521,23.55714286,93.98361345,0.017840336,0.243277311,0.852521008,-0.687815126,0.910504202
Tony Brown,1109,165.0691614,47.34544635,41.9613165,202.1271416,-0.78503156,-0.387917042,0.284851217,-0.364833183,0.601459874,82.54364292,23.96798918,20.67700631,102.564202,0.398597836,82.52633003,23.37637511,21.26934175,99.56844004,0.017727683,-0.027321912,-0.42245266,0.083228133,0.12245266
Troy Raymond,48,160,44.4,40.4,182.7,0.4,-4,-2.5,-4.1,0.625,80.4,22.5,20.1,93.3,0.375,79.7,21.9,20.3,89.4,0.022,0.1,-0.6,0.5,0.3
Tommy Nunez Jr.,436,162.0098624,50.21926606,42.96926606,199.2183486,0.560779817,0.200917431,0.2,1.713073394,0.598610092,80.98830275,26.12752294,20.90022936,101.6162844,0.401389908,81.01307339,24.07752294,22.10573394,97.62041284,-0.000488532,-0.131192661,0.809174312,-0.37087156,0.916055046
Olandis Poole,570,163.0947368,48.54877193,41.58087719,198.5289474,0.982280702,-0.647719298,-0.745614035,0.744561404,0.580626316,81.83561404,24.57491228,20.60894737,100.6684211,0.419373684,81.26947368,23.98403509,20.95964912,97.86105263,-0.036873684,0.484736842,-0.626140351,0.443333333,-0.26754386
